"id","url","nama","alamat","daerah","latitude","longitude","jenis","mula","hingga","geocoder_address","geocoder_longitude","geocoder_latitude","geocoder_location_type","last_update"
97,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IjN2RzZ3aEc2cTFwc2czdGRjY0JlWEE9PSIsInZhbHVlIjoicTZGVGxySVZ0cFo1VmZJWXVpMXlmQT09IiwibWFjIjoiZmYxMzhjMTM3NGYwNjVmZjE1Zjg1ZGIwZjAzZWIzZDI1ZTBjYTkxNzg4NTRhNTg2MmYzNDVkOGJhMmViZTlmMyIsInRhZyI6IiJ9","Warung Hasmida","Kampung Lumba Kuda, 37A, Jalan Tan Sri Datuk William Tan, 93450 Kuching","Kuching Sarawak",,,"Medan Selera / Gerai","17 Feb Hingga","17 Feb 2023","37, Jalan Tan Sri Datuk William Tan, 93450 Kuching, Sarawak, Malaysia",110.3600964,1.5494694,"RANGE_INTERPOLATED","2023-02-18 16:24:22"
98,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6Inhtc29yaEpsUkJ4S1BYSzhVeWZPeUE9PSIsInZhbHVlIjoiUlZuQmJnOW11R2RzYzhOTFVpdzljUT09IiwibWFjIjoiOGUzYzA3YWFlNTIyMDcwMDg1ZDVmY2E5YmYyMzgwMDJkMDljMmI5OTQ2YjljNWU3ZWM2YTJlMGJmZDY5ZGM5MyIsInRhZyI6IiJ9","Coffee Zone","85B, Jalan Masjid Lama, Bandar Sarikei","Sarikei Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","85B, Jalan Masjid Lama, Bandar Sarikei, 96100 Sarikei, Sarawak, Malaysia",111.516909,2.1295979,"ROOFTOP","2023-02-18 16:24:15"
99,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkFnNmxwSHNTQlgwcE41ZWJrMW5yZmc9PSIsInZhbHVlIjoiaVVxb0szNzJ6bVRsdEJhZ2lHUHV3UT09IiwibWFjIjoiNGY4Mzk1YWZkNzQ4MDEzY2RlYTQ0ZjhkMWY2NzJlMWJmYTE3MzM1NDlhMDg3MTZiY2RlOTNjNzBiYzBhNTJkMiIsInRhZyI6IiJ9","Rahmat 2 Restaurant Enterprise","Lot 334 , Ground Floor , Jalan Airport , 96800 Kapit , Sarawak.","Kapit Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Lot 334 , Ground Floor, 96800, Jalan Airport, 96800 Kapit, Sarawak, Malaysia",112.9327066,2.0104308,"ROOFTOP","2023-02-18 16:24:12"
100,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6ImNMUFZDMUR5R3VXTU1nZGFWWWNiNnc9PSIsInZhbHVlIjoieW1weGlKZk41d3FlZVNJaG1iZnZEdz09IiwibWFjIjoiMGUwMjU2MDgwMTJiZTlmYjI4ZjA0YzhhN2Q5MWQ3ZTc0NGUyOTUwNzdkNGY5ZDM3NDNjNjk3MWJjYzM4NzhjNSIsInRhZyI6IiJ9","Na Na Bakery &amp; Cafe","Sublot 45,In Lot 2141,","Blok 13 Menuan Land District, Jalan Bleteh, Kapit Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jln Bleteh, Kapit, Sarawak, Malaysia",112.9263692,2.0120356,"GEOMETRIC_CENTER","2023-02-18 16:24:13"
101,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6ImR6Y2FtQmluWmsvempvYTRwQ0VERmc9PSIsInZhbHVlIjoiNndkQVE0VEJqYnpBR0NuWEE3bzVpZz09IiwibWFjIjoiN2MyZTVlNTUzZmU3YzRhNTJhOTcyZmVlMGNmMmQwZjZhMmQ1ODJhNzE0MmEyNGY5MGUwNGMyYWM5ZDZmMDE3OSIsInRhZyI6IiJ9","Sister Kopitiam","GL,lot 560, Jalan Penghulu Nyanggau kapit","Kapit Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Kapit, Sarawak, Malaysia",112.933085,1.995115,"APPROXIMATE","2023-02-18 16:24:31"
102,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkhaQ01CQWQyVzVQT2ROc0xFbUdKY2c9PSIsInZhbHVlIjoiQzJCZ3lrcmZDQ042S0lRK080L3VKZz09IiwibWFjIjoiMTMzYjU5MGJmYjdjMTNhNmY3MzY0MjhlMDRhNzFjNWNkZjE0YzRjNGUwOTEyZDUyOGFiZWUxMDU2NjlkZGJkOCIsInRhZyI6IiJ9","1 Malaysia Cafe","No. 82A-82B, Jalan Masjid, Sarikei","Sarikei Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","82a, 82, Jalan Masjid, 93000 Kuching, Sarawak, Malaysia",110.3423957,1.5578048,"RANGE_INTERPOLATED","2023-02-18 16:24:37"
103,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IldIRlBhYWtqY1d2SnBDUGd3SVNjV3c9PSIsInZhbHVlIjoiSnBxT2I4MnVrVVUyTmYzWkdoR3NRUT09IiwibWFjIjoiZGNhYjE1NmI1MjYyYjU2MTc1MmI4NDZiMGYwY2I5ZGExM2E3MzNlMThmODQ3Y2M4NmY4YTE2MTMxYjY4NjZjYiIsInRhZyI6IiJ9","Cafe Sri Diana","Gerai No 3, Water Front, 96400 Mukah","Mukah Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","96400, Sarawak, Malaysia",112.28609,2.8296074,"APPROXIMATE","2023-02-18 16:24:36"
104,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlFEU2M2QWFjRTBBZEJ2OUY4OVdOcGc9PSIsInZhbHVlIjoiSWlWNnBxYUdyNm16V3BKSDVIamRQdz09IiwibWFjIjoiMDk1M2ViOGIzNzhkZDQ3NjVlMGVhOTU1YjAyMTEwNmE5NDE0N2ZlNWZjNjI0NGFkNjMyYmUxNzE2MGM3MDNhMyIsInRhZyI6IiJ9","Opah Tomyam","Jalan Pasir Panas, Kampung Hulu, Sri Aman","Sri Aman Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Jalan Pasir Panas, Kampung Hulu, 95000 Sri Aman, Sarawak, Malaysia",111.4725103,1.2373548,"GEOMETRIC_CENTER","2023-02-18 16:24:45"
105,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6InVmb2d5WEtZa1c5ZkJpUGtMR0RpWmc9PSIsInZhbHVlIjoiOTBMSEFoMTJiMlN6VzYzQ25UUEJFUT09IiwibWFjIjoiODhhYzkyNTAwZDcxODdiNmIxOWRiMDIwMTUwOTY2NjI4YTA5MmQ5N2U3NjU5MTYxNmY3MzZhMTlhMjViNmE4NyIsInRhZyI6IiJ9","Chicken Shark","TT3 Plaza, Kuching","Kuching Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","93350 Kuching, Sarawak, Malaysia",110.3932646,1.5129945,"GEOMETRIC_CENTER","2023-02-18 16:24:47"
106,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlV3S0RpQXBNUjAyZnJ3Unk4eHJIUGc9PSIsInZhbHVlIjoiTWpEOUtUd2RtYkQ0TVdiYkxVZ2UwUT09IiwibWFjIjoiZTQ4YjEwZDg2YjVjNGI0NDgxYmM4N2Y0YjIyY2U5NmRiMTA3ZWJiZjkwMDZkZDdjMTVlNjhkMTlkOTgyODI0OCIsInRhZyI6IiJ9","Selera Kampung Kak Eda Café","Lot 365 , Kapit Town District , 96800 Kapit Sarawak","Kapit Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Kapit, Sarawak, Malaysia",112.933085,1.995115,"APPROXIMATE","2023-02-18 16:24:43"
107,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6Im1uaGtVRW5ZM3FnRklpQ3ptUU43Tnc9PSIsInZhbHVlIjoiVGpiV3JmOUZ2Wmx4REp0NERsM21Qdz09IiwibWFjIjoiNDBjMTBlYzlmOTI1OTdmNTNhZjUzNzRjZjgwZGM2NTAyMWI3MTBmODQzMzdiODIzMWViNDU2ZTBiZjU2OWI2MiIsInRhZyI6IiJ9","Maker Fast Food Central","No.3, Tondong Bazaar","Bau Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Pekan Tondong, 94000 Bau, Sarawak, Malaysia",110.1603618,1.457845,"APPROXIMATE","2023-02-18 16:24:32"
108,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IldBTGgxYnJWNnNocVY4b0ZYd0FDbFE9PSIsInZhbHVlIjoieXRkSVVjbEVWUXFvbDRhZk94VnJ0dz09IiwibWFjIjoiMjUxMzU5ZTdlOWFhNDdlZDdjNDJlNDE0ZWRlZjk4NjFlY2RhNTUwODVmNDc3ZjNlN2FlNTY5OGQ5NWI2ODQ2YSIsInRhZyI6IiJ9","Xin Xiong Cafe","No.9, Pekan Tondong, Lot 25","Bau Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","25, 9, Pekan Tondong, 94000 Bau, Sarawak, Malaysia",110.1619739,1.4560522,"RANGE_INTERPOLATED","2023-02-18 16:24:40"
109,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlltcUhjMGxDYmNoSWNSRHBwZDMxR0E9PSIsInZhbHVlIjoiandMUmVPUmVmSERZV2E4SWhtSTN5QT09IiwibWFjIjoiMmJmMzgwZjI1MTE1MjY0NzkyNjViY2ZiYWI1Zjk0MzlhZDY1NDRmMWFiYzY0OTViZTVjMTQ1MTk0MzhmZDNkNCIsInRhZyI6IiJ9","Kah Hiong Ngiu Chap","No.83, (G/F), Jalan Nyabor","Sibu Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Sibu, Sarawak, Malaysia",111.8312675,2.2883267,"APPROXIMATE","2023-02-18 16:24:39"
110,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkdvVGlpS0RPeDhpN2RlcUt4RFo1L0E9PSIsInZhbHVlIjoiRDltRVN3dXVxSEo1bjhoWlVSZFZ5QT09IiwibWFjIjoiZmFlYmU5ZWQ3M2M2YWRhY2EwZWExY2NmMTVhNDM3ZmFjNmFlOTE0N2RkNTk3M2ExMjA2ZDg5YTdlMTNhOGYzZiIsInRhZyI6IiJ9","Alex’s Kitchen Chinese Muslim Cafe","No.122, Aiman Mall Commercial Centre","Samarahan Sarawak",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Kota Samarahan (Link), 94300 Kota Samarahan, Sarawak, Malaysia",110.4458866,1.4555349,"GEOMETRIC_CENTER","2023-02-18 16:24:44"
